run_id,split,middle_route_duration_s,middle_route_ground_speed_m_s,median_radial_ground_speed_m_s,median_target_ground_speed_m_s,median_lean_deg,lean_near_30deg_fraction,median_altitude_delta_m,n_middle_position_samples
pipeline-0001-run-001,train,29.258846671363898,7.9103120423907045,7.931616915670827,10.518253342444295,29.989686469180246,1.0,-0.02417755126953125,293
pipeline-0002-run-001,train,57.111811048778975,9.905934846761,9.924289697399889,10.515552892544926,29.99316956581278,1.0,-0.006191253662109375,571
pipeline-0003-run-001,train,40.46254904710315,9.998147727966222,10.012645187696135,10.01304189744167,29.200954128154,0.0024691358024691358,-0.01456451416015625,405
pipeline-0004-run-001,train,87.80572858641372,8.067178999543287,8.082183823897523,10.521200236587108,29.990794305457513,1.0,-0.00896453857421875,878
pipeline-0005-run-001,train,89.60122476570149,10.009021139799634,10.007570813919635,10.00630065927116,22.858362976120866,0.0,-0.0028839111328125,896
pipeline-0006-run-001,train,71.42804992498952,10.005737651993964,10.018449661389479,10.017871572113357,25.488233835202053,0.0,-0.011640548706061793,714
pipeline-0007-run-001,train,20.162420271507358,9.591477519852749,9.615945493519504,10.508253615583282,29.98791882847982,1.0,-0.02133941650390625,202
pipeline-0008-run-001,validation,58.507610641723346,10.003745226664604,10.015004972803565,10.014642606376821,27.361104030473776,0.0,-0.004898071289069605,585
pipeline-0009-run-001,train,96.63513550094461,8.80537255747002,8.805019008167719,10.520620655033749,30.00193433224878,1.0,-0.01836395263671875,966
pipeline-0010-run-001,train,17.788805801341425,9.97925126182609,10.00911501640938,10.016267178007045,24.991656267665665,0.0,-0.022869110107436086,178
pipeline-0011-run-001,train,43.672232721770825,9.998358997988156,10.01159912244697,10.011242780730115,25.93911947721039,0.0,-0.008983612060561086,436
pipeline-0012-run-001,validation,86.34589036406993,10.008399339471696,10.009153146005712,10.007111151412285,26.742886640374945,0.0,-0.009130477905273438,864
pipeline-0013-run-001,train,38.991727721286196,9.999023627133628,9.9912814457135,9.989553393212827,7.559880204779032,0.0,0.00058746337890625,390
pipeline-0014-run-001,train,35.21067966927504,9.997013029229823,10.014967277326862,10.016489353472986,23.921867010277094,0.0,-0.01786041259765625,353
pipeline-0015-run-001,test,86.8759578589507,10.008343323931218,10.00347680144629,10.002565806782272,24.607366739342012,0.0,-0.003269195556654836,868
pipeline-0016-run-001,train,41.66560800580439,9.998251928886047,10.002106636080924,10.001480765355637,18.30466924557522,0.0,-0.007175445556640625,416
pipeline-0017-run-001,train,72.79598369601769,9.846555670103468,9.864332784355572,10.518468672570776,29.992096192561636,1.0,-0.00797271728515625,728
pipeline-0018-run-001,validation,15.947794614564188,9.985192038192553,10.008040321991732,10.028238944802379,20.069748793316272,0.0,-0.005611419677734375,160
pipeline-0019-run-001,train,32.33582740426402,9.998517888909905,10.014721770117616,10.01505433067946,27.789670056667298,0.0,-0.0189056396484375,323
pipeline-0020-run-001,test,25.569486060994677,9.995622310463107,10.01648821898139,10.018698827796129,18.35734444976681,0.0,-0.008792877197265625,255
pipeline-0021-run-001,train,12.992085686505987,9.970350289956793,10.000336850643944,10.021226329022,22.09181826342644,0.0,-0.006833076477050781,130
pipeline-0022-run-001,train,71.90155586633091,9.035601906877995,9.04559468289146,10.523611120938966,30.002524801651596,1.0,-0.0031394958496164804,719
pipeline-0023-run-001,train,66.7817845982207,7.153455533706946,7.168409012106741,10.5193246549523,29.993887468178205,1.0,-0.0143280029296875,668
pipeline-0024-run-001,train,81.17422395003086,10.007667977532176,10.000291127500912,10.000648454234831,19.961967392189333,0.0,-0.00629425048828125,812
pipeline-0025-run-001,test,15.132170157198374,9.974074801635496,10.001179446137115,10.01538328826329,24.36592146020063,0.0,-0.011899948120117188,152
pipeline-0026-run-001,train,23.53908261790943,9.959937834782549,9.985833269280839,10.262594237970939,29.98771104072777,1.0,-0.014820098876953125,235
pipeline-0027-run-001,test,89.83779993214085,10.008919851167645,9.995961015615451,9.995947007277483,13.984025883872228,0.0,-0.0018711090087890625,898
pipeline-0028-run-001,train,16.3907744523802,9.963290712228465,10.000964826548302,10.008637520076718,29.103011757223385,0.0,-0.01760101318359375,163
pipeline-0029-run-001,train,30.096709806579952,9.996837185796206,10.011306632092921,10.012681592051727,23.52159171294296,0.0,-0.020648956298828125,301
pipeline-0030-run-001,train,38.1918380977408,9.999130651953264,10.0135977008868,10.013691758460945,26.739304614438232,0.0,-0.003665924072265625,382
pipeline-0031-run-001,validation,19.72648226907387,6.249570421688942,6.274923053881979,10.514938543953257,29.991930631600034,1.0,-0.01409912109375,198
pipeline-0032-run-001,test,72.04506900604909,10.006483883758213,10.020774851444125,10.018391529071794,20.499843860919228,0.0,-0.016021728515625,721
pipeline-0033-run-001,test,51.892301321347986,8.789194525440424,8.79810132189425,10.504514397878093,29.99822232182045,1.0,-0.010372161865234375,518
pipeline-0034-run-001,train,28.36305080858267,9.994222579305669,10.012254536284335,10.012626276342326,29.0175532423827,0.0,-0.010692596435546875,283
pipeline-0035-run-001,validation,17.172899200183252,9.987329420826999,10.020614652231721,10.029921099693567,14.94174934189477,0.0,-0.007915496826186086,172
