scenario_id,run_id,raw_log_path,rtl_start_boot_s,disarm_boot_s,decision_window_s,decision_battery_sample_count,distance_home_m,relative_altitude_m,route_bearing_sin,route_bearing_cos,battery_voltage_v,voltage_mean_v,voltage_min_v,voltage_std_v,ekf_wind_north_m_s,ekf_wind_east_m_s,ekf_wind_north_mean_m_s,ekf_wind_north_std_m_s,ekf_wind_east_mean_m_s,ekf_wind_east_std_m_s,current_mean_a,current_std_a,current_q25_a,current_median_a,current_q75_a,current_q90_a,throttle_mean,throttle_std,active_motor_count,motor_output_mean,motor_output_std,motor_output_max,motor_saturation_fraction,roll_abs_mean_rad,pitch_abs_mean_rad,roll_rate_std_rad_s,pitch_rate_std_rad_s,vertical_speed_mean_m_s,vertical_speed_std_m_s,horizontal_speed_mean_m_s,horizontal_speed_std_m_s,planned_rtl_climb_m,headwind_m_s,crosswind_abs_m_s,nominal_horizontal_time_s,nominal_climb_time_s,nominal_descent_time_s,nominal_total_rtl_time_s,required_air_velocity_north_m_s,required_air_velocity_east_m_s,required_airspeed_m_s,required_airspeed_squared_m2_s2,current_time_charge_baseline_mah,payload_mass_kg,true_wind_north_m_s,true_wind_east_m_s,requested_distance_m,requested_outbound_bearing_deg,rtl_charge_mah,rtl_energy_wh,rtl_duration_s,rtl_charge_integrated_mah,rtl_charge_runner_mah,charge_crosscheck_error_mah,charge_crosscheck_tolerance_mah,charge_crosscheck_passed,scenario_family_id,split,seed,ardupilot_commit,patch_hash,parameter_file_hash,scenario_fingerprint,requested_decision_altitude_m,sitl_speedup
train-h-0001,train-h-0001-run-001,data/raw/train-h-0001-run-001/logs/00000001.BIN,156.727284,314.761545,10.0,100,629.494068234596,72.75015258789062,-0.9820691842386499,-0.18852086719732822,12.23632526397705,12.233559122085572,12.217854499816895,0.00546178591281508,0.09,4.18,0.1429,0.03516518164321066,4.2432,0.04324072154809621,36.641912879943845,0.5446582738032966,36.36211585998535,36.38802719116211,36.46178436279297,37.69751052856445,0.4692391094565391,0.0068532800041424665,4,0.6864675,0.005617289715690263,0.704,0.0,0.024957219220054217,0.16608366281306444,0.002419825125845926,0.0709212293187876,0.0055784098329604605,0.0060019564134464794,0.5026176510111362,1.0717165823255106,0.0,4.194055594483937,0.659594057264,108.42233825672386,0.0,61.83343505859375,175.2557733153176,-2.028108671973282,-14.063891842386498,14.209372911556608,201.9062785396787,1783.8074382019597,0.7541090659092166,0.13564776165624154,4.1669813108089855,629.4504354787418,79.1360178469352,1638.9377319335938,20.034149973259414,158.03426100000001,1639.3084922637738,1640.0,0.3707603301800191,16.38937731933594,True,train-h-0001-family,train,6510935715788361982,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,5ae8dc6b20f1c57972aa618099633e7208ea495ec4dfbecd7bec4d6b277c3ce0,72.75576787232927,2.0
train-h-0002,train-h-0002-run-001,data/raw/train-h-0002-run-001/logs/00000001.BIN,118.721659,240.417128,10.0,100,207.81403012369432,84.62118530273438,-0.6720832064082274,0.7404756334033119,12.259540557861328,12.256851949691772,12.23855209350586,0.0055030813668928025,-2.98,5.08,-2.8968000000000003,0.08553221615274566,5.1575,0.049140105819991904,34.31612232208252,0.551117845661929,34.039926528930664,34.05908393859863,34.20790672302246,35.25893630981445,0.44146129429340364,0.007072112210160736,4,0.6645725,0.009259305792012711,0.685,0.0,0.1457512765648475,0.15029736124684648,0.00541477019715603,0.06610486773990407,0.01062662663985975,0.018250194770975836,0.5398121104956041,1.0682760832479279,0.0,5.611278951893146,1.8721124469542276,47.35184301889916,0.0,69.74745686848959,122.09929988738875,10.301556334033119,-11.878332064082272,15.723130589289873,247.2168355278629,1163.8818084378524,0.5001672033858946,-2.898390233285451,5.08453788784882,207.71846304029046,137.78175264577,1139.8164337158203,13.975301747512889,121.69546899999999,1140.196916614105,1140.0,0.3804828982847539,11.398164337158203,True,train-h-0002-family,train,8127236741807644243,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,1565e57471ab25844a70e65c320bf48b308e80430a96da503976ff8860b8b967,84.62730495133675,2.0
train-h-0003,train-h-0003-run-001,data/raw/train-h-0003-run-001/logs/00000001.BIN,166.909043,380.651845,10.0,100,586.539862947775,113.45940399169922,0.240106209824412,0.9707466239981242,12.28019905090332,12.277271566390992,12.259903907775879,0.005517303164848376,-6.07,-1.05,-5.9653,0.10322262348923324,-0.9537,0.06803903291493789,32.27490919113159,0.5540284088148772,31.98050832748413,31.999183654785156,32.12190818786621,33.26982307434082,0.4158125627040863,0.007093195843844597,4,0.6450175,0.009578736542467391,0.665,0.0,0.07860593147762443,0.22554357985391063,0.007897214069856112,0.06340463222920237,0.008498216596490239,0.011878161937624525,0.5837682427718286,1.1465223885519682,0.0,6.0197841284455516,0.5065045181585539,147.3638319819838,0.0,88.97293599446614,241.33676797644995,15.672766239981243,3.35476209824412,16.02778931571385,256.89003034891107,2163.645075255866,0.28892265817024354,-5.904286949809278,-0.9877660653082146,586.4963429128203,193.90440884459838,1943.7562255859375,23.850966513145607,213.74280199999998,1944.0446044622656,1944.0,0.28837887632812453,19.437562255859376,True,train-h-0003-family,train,8268239186442111237,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,0d52db9692b755dd41ffbc448d3bd43097d03bf6e35ffea95c73043ab5891e32,113.46677964601514,2.0
train-h-0004,train-h-0004-run-001,data/raw/train-h-0004-run-001/logs/00000001.BIN,165.287192,368.681635,10.0,100,765.2510440289036,58.66613006591797,0.5553633731560056,-0.8316077944300325,12.273430824279785,12.270676851272583,12.254715919494629,0.005450484203773184,4.47,-2.86,4.396100000000001,0.06839437111341844,-2.8269,0.027191726682945335,32.93023349761963,0.5444234903425151,32.64582824707031,32.67017364501953,32.76852607727051,33.990309143066405,0.4235886010527611,0.006936516783620708,4,0.6496500000000001,0.005524717187331859,0.669,0.0,0.0026223576647258066,0.2292719340572386,0.0020533283944709066,0.06483068201214978,0.0001224773232752341,0.0037753040025955637,0.5017526697316212,1.0251202496661989,0.0,5.225787744668579,0.09056085065685737,160.28844196743418,0.0,52.44408671061198,217.73252867804615,-12.712177944300326,8.380533731560057,15.226057063907634,231.83281371337156,1991.6619470542284,0.36917473332205347,4.3726338705236785,-2.8798148045219185,765.1986956868933,326.2658661909797,1913.4447021484375,23.458087720328436,203.39444300000002,1913.75243887192,1914.0,0.30773672348254877,19.134447021484377,True,train-h-0004-family,train,2572453497837766635,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,dc1d51e9eff2c02831b00647d41091fe07d4066a505e46f99edd0d9d0c3fb27f,58.66510045073025,2.0
train-h-0005,train-h-0005-run-001,data/raw/train-h-0005-run-001/logs/00000001.BIN,153.904247,302.369837,10.0,100,605.0841659564097,71.0696792602539,0.44900117617164303,-0.8935311655429156,12.212008476257324,12.208913173675537,12.19151496887207,0.005949266781494127,4.73,-0.47,4.8660000000000005,0.0871320836431679,-0.49729999999999996,0.04683705797763134,39.107741851806644,0.5964797796684506,38.784661293029785,38.8109073638916,38.91132831573486,40.23942451477051,0.5000208607316017,0.007430143045859556,4,0.7100775,0.0072808992404784795,0.73,0.0,0.08889951356271956,0.14194390633036494,0.003485343843525288,0.07010140414035439,0.0024212094007089037,0.006589977761439706,0.5353766586029889,1.126093885766731,0.0,4.571210936441985,1.7404866746267231,111.45840423570243,0.0,60.71311950683594,177.17152374253837,-13.801311655429156,4.98731176171643,14.67479069761609,215.3494820188397,1924.660615004006,0.9922402275222726,4.781398690536833,-0.4681759629262897,605.0403740243769,333.3195132962238,1653.0457641601563,20.15948169393054,148.46559000000002,1653.4517136087507,1653.0,0.405949448594356,16.530457641601565,True,train-h-0005-family,train,5421164048123008038,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,db614104a722f6713e02c1cd6f0eb9062b753f008ff95d14e3b2c22595157acc,71.07084407437075,2.0
train-h-0006,train-h-0006-run-001,data/raw/train-h-0006-run-001/logs/00000001.BIN,120.479289,229.87468,10.0,100,342.7578192006703,51.233856201171875,-0.6455338649929289,-0.7637316473390972,12.217142105102539,12.21402801513672,12.195866584777832,0.0063017255532692665,3.56,3.76,3.6962,0.11028853068202514,3.8209,0.04543335778918398,38.5951708984375,0.6317368373881346,38.25559997558594,38.29390907287598,38.402289390563965,39.79261932373047,0.49429463148117064,0.007942763648141187,4,0.7047599999999999,0.0068871184104819985,0.725,0.0,0.03239627590372191,0.20684828995200444,0.0029366467789623215,0.06619907288120676,0.004276032842462882,0.00504997755445436,0.5223973747816184,1.0590993782482339,0.0,5.2894252596462525,0.5321199795310925,72.76348176038715,0.0,47.48923746744792,125.25271922783507,-11.333516473390972,-10.276238649929288,15.29868217994364,234.0496764429251,1342.819473358973,0.9340763934330966,3.6989803017167366,3.847503787176597,342.7375266250186,40.2097126162519,1183.9676025390627,14.452421794591668,109.39539100000002,1184.4034773677101,1185.0,0.4358748286474565,11.839676025390627,True,train-h-0006-family,train,2510062083109858353,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,9ee7205c4375db31d12fda3ac384a85e0938af3f176464ddf1380315f5d12149,51.24055524383637,2.0
train-h-0007,train-h-0007-run-001,data/raw/train-h-0007-run-001/logs/00000001.BIN,200.104093,408.139179,10.0,100,1194.3017569603992,35.824092864990234,0.5277421577563398,0.8494046237963875,12.214049339294434,12.210687160491943,12.193570137023926,0.00626346285463778,-2.79,-4.39,-2.8714999999999997,0.06771078200700395,-4.5068,0.06413859992235563,38.928696937561035,0.6255554935713136,38.5828971862793,38.607913970947266,38.73818492889404,40.144202423095706,0.49900864213705065,0.007892808251008156,4,0.707325,0.00809594806060415,0.727,0.0,0.12468778406261757,0.13047827639139573,0.003211405212045326,0.06880606475903736,0.004988141761859879,0.003816465114470903,0.5448860839360224,1.1388335375016383,0.0,4.8174937338075985,2.3126851525282293,230.44868556190966,0.0,37.216061909993485,272.6647474719031,11.365546237963875,9.784221577563398,14.996887449272664,224.90663316615198,2948.4675888584247,0.9667422686713202,-2.7833547242693477,-4.509764038826243,1194.2334741417187,211.85340860785496,2378.470880126953,28.98291989898154,208.035086,2378.8217164100306,2379.0,0.35083628307756953,23.78470880126953,True,train-h-0007-family,train,5693932501606275310,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,ec81495e2275319665cfb22d471f33e7ab5f02da53692025f1d68fff4a9826fb,35.831912378664214,2.0
train-h-0008,train-h-0008-run-001,data/raw/train-h-0008-run-001/logs/00000001.BIN,209.127149,443.221807,10.0,100,1243.538821540491,48.57046890258789,0.218113549265493,-0.9759233984421161,12.304715156555176,12.30215030670166,12.289331436157227,0.004636376165997242,4.54,0.35,4.294,0.18399456513712573,0.4146,0.04141062665548542,29.783070964813234,0.4637708582224154,29.527726650238037,29.550196647644043,29.620352268218994,30.705550956726075,0.38339114308357236,0.005900276549029895,4,0.616495,0.007423609297370121,0.633,0.0,0.07683059742992548,0.16039497903398867,0.004010428321018763,0.06896265729062177,-0.00031587077522090114,0.0035404400216377547,0.601451613287128,1.2235782161234359,0.0,4.100185195384973,1.3411974215401283,210.77590784167572,0.0,45.713645935058594,261.4895537767343,-14.053233984421162,1.76653549265493,14.163828333741534,200.6140330676995,2163.3227601916174,0.06036207570974924,4.358914737581062,0.2293903760157966,1243.500088374628,347.4007887137267,2064.1611450195314,25.349251445070266,234.094658,2064.4134506985074,2065.0,0.2523056789759721,20.641611450195313,True,train-h-0008-family,train,7096774413085631168,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,ba730de48e15def00a92174a537d7b00a421733ceb6c5afb7c468f2a6dc23955,48.56960051039658,2.0
train-h-0009,train-h-0009-run-001,data/raw/train-h-0009-run-001/logs/00000001.BIN,207.511962,446.702081,10.0,100,1018.5597569282501,105.7754135131836,-0.023303974153875636,0.9997284255179681,12.264700889587402,12.262132444381713,12.247632026672363,0.005023452696790035,-4.29,-0.49,-4.2343,0.044727061159883875,-0.46509999999999996,0.0208084117606318,33.78516143798828,0.5023291198021339,33.521883964538574,33.54718208312988,33.61703872680664,34.76575889587402,0.4336551597714424,0.006357758377298452,4,0.6594075,0.00537275011051138,0.677,0.0,0.022391532447421078,0.1776067751075982,0.002294114569193353,0.07043793620609223,0.006208361496828729,0.007460639465679376,0.5540392397080207,1.140915505529065,0.0,4.222311393791765,0.5636497084681625,176.29190950751283,0.0,83.85027567545572,265.14218518296855,14.231584255179683,0.2320602584612436,14.233476117092247,202.59184237583537,2488.297647340993,0.46723144307583614,-4.2168166529531135,-0.4196805443882193,1018.5160466038019,178.6664013434793,2311.5503845214844,28.31576362202099,239.190119,2311.8083040338984,2312.0,0.25791951241399147,23.115503845214842,True,train-h-0009-family,train,3661219812656008004,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,e459c97fec8712c543d2cb2299346177a17588c1cfec9ab577192ace7d5d1673,105.7833118140455,2.0
train-h-0010,train-h-0010-run-001,data/raw/train-h-0010-run-001/logs/00000001.BIN,191.10686,439.236735,10.0,100,995.6917866448135,66.36465454101562,0.12197539378662896,-0.9925331245407364,12.271316528320312,12.26842230796814,12.251940727233887,0.005598702732201082,5.33,-2.23,5.2477,0.07867471004077488,-2.2807,0.03927480108160956,33.15609031677246,0.5575732384262914,32.85792255401611,32.88480567932129,32.99729537963867,34.18797225952149,0.4263174444437027,0.0071127446238382205,4,0.6522800000000001,0.009317005956851167,0.671,0.0,0.13643075170679575,0.15486162626850422,0.0054076739336015684,0.06467926490009647,-0.00034202912569526235,0.004687935055458849,0.5094957878867342,1.0389850619113503,0.0,5.486705358261587,1.6235800231659645,220.61306998146634,0.0,57.576436360677086,283.18950634214343,-15.173031245407364,3.5004539378662898,15.57157843461066,242.47405494523176,2608.1824580673097,0.38315448916937017,5.25363466675598,-2.2036724508679857,995.5959949434563,352.9952695516709,2373.0220458984377,29.07876765922361,248.129875,2373.311409558252,2373.0,0.2893636598141711,23.730220458984377,True,train-h-0010-family,train,8778476295193190868,d12a8f8997634cee977581cbaa5548c04facc1f5,6c58c27282539d3519962692d87bdfaba41ce01b094a18e3956a3473bb14fe20,2f5ce03671f92bfca42dabff69a505058fb52e27086fafbd86a866f5b4af27cf,f7c9067922f3ad5708cee9389c1d1ba775ed18328f5a6bd17f853b9cb7ace9e1,66.35971317447024,2.0
