run_id,variant,model,architecture,seed,parameters,selected_epoch,train_mae_mah,validation_mae_mah,validation_rmse_mah,validation_max_underprediction_mah,validation_high_headwind_mae_mah
f2_corrected_learned__neural__64__20260926,f2_corrected_learned,neural,64,20260926.0,3009.0,597.0,6.407178206728169,54.5805640887996,89.69501884171144,378.8846376272095,103.66623817968245
f2_corrected_learned__ridge__fixed,f2_corrected_learned,ridge,fixed,,,,23.00360588572462,47.484905534381205,89.76647572428962,483.1544796225753,87.0026281518069
f2_corrected_learned__xgboost__fixed,f2_corrected_learned,xgboost,fixed,,,,1.2956272514558902,62.32021505618959,131.51750744375977,569.2639282226564,118.46012114397612
f3_cubic_fixed__neural__1024__20260924,f3_cubic_fixed,neural,1024,20260924.0,46081.0,341.0,11.01095284849458,29.89409609225862,51.44638442206518,232.5802571861759,59.841515332244875
f3_cubic_fixed__neural__1024__20260925,f3_cubic_fixed,neural,1024,20260925.0,46081.0,415.0,4.87389679300029,32.01156120708105,70.02929455761121,331.74100215663475,70.64367099138845
f3_cubic_fixed__neural__1024__20260926,f3_cubic_fixed,neural,1024,20260926.0,46081.0,462.0,4.371500330657639,34.367367746362724,79.72319717418767,394.8634162740609,77.28409331206252
f3_cubic_fixed__neural__128-64-32-16__20260924,f3_cubic_fixed,neural,128-64-32-16,20260924.0,16513.0,449.0,5.217467601988904,36.417619190615675,87.68292659259306,397.66039685569876,82.42831678286514
f3_cubic_fixed__neural__128-64-32-16__20260925,f3_cubic_fixed,neural,128-64-32-16,20260925.0,16513.0,326.0,5.69048587524486,45.76253907485289,105.20131261345071,511.7886798758168,103.951660045364
f3_cubic_fixed__neural__128-64-32-16__20260926,f3_cubic_fixed,neural,128-64-32-16,20260926.0,16513.0,514.0,5.670298536187604,37.07812755715311,88.08701753236076,423.4315245009293,86.27843442529323
f3_cubic_fixed__neural__128-64-32__20260924,f3_cubic_fixed,neural,128-64-32,20260924.0,16001.0,393.0,6.180088333729242,41.45995227268724,88.0818902943539,393.67209434050164,95.64000264685902
f3_cubic_fixed__neural__128-64-32__20260925,f3_cubic_fixed,neural,128-64-32,20260925.0,16001.0,347.0,6.468225752405956,37.020641722000406,84.53244699822716,402.42020408773396,83.30507105850755
f3_cubic_fixed__neural__128-64-32__20260926,f3_cubic_fixed,neural,128-64-32,20260926.0,16001.0,339.0,8.391899644668099,34.89383039313549,82.88703952594027,409.43287867116214,72.79767235420954
f3_cubic_fixed__neural__128-64__20260924,f3_cubic_fixed,neural,128-64,20260924.0,13953.0,573.0,5.198994596442032,38.89168012083994,84.77829065803027,379.1159824654428,83.20757825191448
f3_cubic_fixed__neural__128-64__20260925,f3_cubic_fixed,neural,128-64,20260925.0,13953.0,552.0,6.802017147290683,35.08291554954411,84.60106443419274,414.7650021423801,70.63617124414876
f3_cubic_fixed__neural__128-64__20260926,f3_cubic_fixed,neural,128-64,20260926.0,13953.0,424.0,5.070840828182674,41.95646357245079,85.98393327528022,406.47401351276085,92.64274794243958
f3_cubic_fixed__neural__128__20260924,f3_cubic_fixed,neural,128,20260924.0,5761.0,595.0,8.644019221301141,35.93635762820711,65.8153752833654,261.57751391112924,74.23786418364298
f3_cubic_fixed__neural__128__20260925,f3_cubic_fixed,neural,128,20260925.0,5761.0,599.0,4.470594351965089,38.18867725679617,77.0067085871106,371.99726183537905,73.4024685263828
f3_cubic_fixed__neural__128__20260926,f3_cubic_fixed,neural,128,20260926.0,5761.0,528.0,8.516890287235144,38.62559577484998,78.57900688714298,349.46617625624367,83.42794960534782
f3_cubic_fixed__neural__16-16-16-16-16-16-16-16-16-16__20260924,f3_cubic_fixed,neural,16-16-16-16-16-16-16-16-16-16,20260924.0,3169.0,67.0,32.69880594596047,217.75711507107494,322.05923493330585,871.7072109328415,339.8785321821503
f3_cubic_fixed__neural__16-16-16-16-16-16-16-16-16-16__20260925,f3_cubic_fixed,neural,16-16-16-16-16-16-16-16-16-16,20260925.0,3169.0,591.0,12.50831800870178,67.39270432124889,109.00174432172868,466.61194293416565,118.00560884299304
f3_cubic_fixed__neural__16-16-16-16-16-16-16-16-16-16__20260926,f3_cubic_fixed,neural,16-16-16-16-16-16-16-16-16-16,20260926.0,3169.0,581.0,10.465200505483166,55.020518874781736,91.36305397954494,345.06831023519953,97.44250047900498
f3_cubic_fixed__neural__16-16-16-16-16__20260924,f3_cubic_fixed,neural,16-16-16-16-16,20260924.0,1809.0,599.0,6.329609471913636,40.378292532343416,75.2473971309246,366.79689734434214,75.70942988544643
f3_cubic_fixed__neural__16-16-16-16-16__20260925,f3_cubic_fixed,neural,16-16-16-16-16,20260925.0,1809.0,467.0,6.288854314991665,50.86975200650621,88.03624752283805,409.2095884374953,87.3671630219724
f3_cubic_fixed__neural__16-16-16-16-16__20260926,f3_cubic_fixed,neural,16-16-16-16-16,20260926.0,1809.0,594.0,6.339761327606044,49.847579971005764,93.47598813724292,416.7581521790821,98.78123163501358
f3_cubic_fixed__neural__16__20260924,f3_cubic_fixed,neural,16,20260924.0,721.0,589.0,7.139436758227872,71.59354333106845,90.96964361342481,191.00521514653474,110.72250956764124
f3_cubic_fixed__neural__16__20260925,f3_cubic_fixed,neural,16,20260925.0,721.0,595.0,6.402027707961893,68.50470170635998,113.9280523021643,469.64891920428454,125.59763392928512
f3_cubic_fixed__neural__16__20260926,f3_cubic_fixed,neural,16,20260926.0,721.0,598.0,5.967056887327499,85.63210666828985,136.0634993755881,596.1790006390079,162.12411301931408
f3_cubic_fixed__neural__256__20260924,f3_cubic_fixed,neural,256,20260924.0,11521.0,450.0,7.041234623930229,35.39405063259953,80.04649609045363,405.2375680573314,69.90857535582752
f3_cubic_fixed__neural__256__20260925,f3_cubic_fixed,neural,256,20260925.0,11521.0,580.0,4.6797627861158775,38.35627154393726,69.95925450528823,301.49751949675556,84.49054777315398
f3_cubic_fixed__neural__256__20260926,f3_cubic_fixed,neural,256,20260926.0,11521.0,487.0,12.056170942998689,39.04474429445757,72.68111337845048,333.46451366060455,77.3031797196217
f3_cubic_fixed__neural__32-16__20260924,f3_cubic_fixed,neural,32-16,20260924.0,1953.0,599.0,3.7951387115682533,44.138298329115955,83.98327633846853,356.87767420889577,88.41566464048303
f3_cubic_fixed__neural__32-16__20260925,f3_cubic_fixed,neural,32-16,20260925.0,1953.0,595.0,4.3195562739176685,47.554691113552465,90.77955868493429,402.4912003958593,109.228271694935
f3_cubic_fixed__neural__32-16__20260926,f3_cubic_fixed,neural,32-16,20260926.0,1953.0,600.0,4.075388422799116,45.74116587451524,92.37189053605663,428.7414043924264,97.14669323330322
f3_cubic_fixed__neural__32__20260924,f3_cubic_fixed,neural,32,20260924.0,1441.0,591.0,4.342600075406998,61.657516551209376,97.67564350691389,431.3511761353061,103.04540449314605
f3_cubic_fixed__neural__32__20260925,f3_cubic_fixed,neural,32,20260925.0,1441.0,593.0,3.269993293347969,50.828751539521775,86.89805182302943,309.386802710188,108.71215555067756
f3_cubic_fixed__neural__32__20260926,f3_cubic_fixed,neural,32,20260926.0,1441.0,585.0,4.501421224704335,45.5755441822909,89.45344815326106,424.2031765003949,92.27622761428513
f3_cubic_fixed__neural__512__20260924,f3_cubic_fixed,neural,512,20260924.0,23041.0,256.0,20.026435300018136,47.41579858122552,69.63278500389075,284.7257111825202,82.05790755772497
f3_cubic_fixed__neural__512__20260925,f3_cubic_fixed,neural,512,20260925.0,23041.0,512.0,7.1893190476511615,37.15659421902316,78.38589552044118,352.0425163233076,85.12578189816993
f3_cubic_fixed__neural__512__20260926,f3_cubic_fixed,neural,512,20260926.0,23041.0,598.0,9.217450032212595,38.673017814515816,81.25752305847924,380.6700066951744,80.04998211456655
f3_cubic_fixed__neural__64-32-16__20260924,f3_cubic_fixed,neural,64-32-16,20260924.0,5441.0,468.0,9.903156289681792,36.82805637059525,73.31572636971164,315.14693063905634,70.54751455635936
f3_cubic_fixed__neural__64-32-16__20260925,f3_cubic_fixed,neural,64-32-16,20260925.0,5441.0,539.0,7.942128227885479,35.77659075281613,83.64257948151472,408.27087483999594,73.77809829737309
f3_cubic_fixed__neural__64-32-16__20260926,f3_cubic_fixed,neural,64-32-16,20260926.0,5441.0,600.0,2.8686307659380743,59.56822511137754,110.79768277915144,484.39962028316995,124.99592107732833
f3_cubic_fixed__neural__64-32__20260924,f3_cubic_fixed,neural,64-32,20260924.0,4929.0,577.0,5.273340384041424,39.85350735645978,85.84174857577077,401.9915887090783,83.1723331635584
f3_cubic_fixed__neural__64-32__20260925,f3_cubic_fixed,neural,64-32,20260925.0,4929.0,515.0,4.870616491952103,39.621289865501325,86.06135023089652,399.0263480746712,84.70513967567331
f3_cubic_fixed__neural__64-32__20260926,f3_cubic_fixed,neural,64-32,20260926.0,4929.0,573.0,6.100751559345884,44.90318212298151,90.8410615605443,424.52810950862977,95.96400079723698
f3_cubic_fixed__neural__64__20260924,f3_cubic_fixed,neural,64,20260924.0,2881.0,599.0,8.737776734810064,35.62270655739207,64.09624354037496,296.93606283624104,72.33663491993626
f3_cubic_fixed__neural__64__20260925,f3_cubic_fixed,neural,64,20260925.0,2881.0,594.0,3.7006744617904324,48.18074160046182,87.58488442340958,347.8956881323538,93.92667001642664
f3_cubic_fixed__neural__64__20260926,f3_cubic_fixed,neural,64,20260926.0,2881.0,36.0,43.20048538519566,75.30759970527167,107.88902153660278,261.6079179883691,91.80640146169732
f3_cubic_fixed__ridge__fixed,f3_cubic_fixed,ridge,fixed,,,,20.16578555892042,41.10526445420374,80.7743719905497,415.66639245754686,80.60416070290951
f3_cubic_fixed__xgboost__fixed,f3_cubic_fixed,xgboost,fixed,,,,1.3147900955461282,77.25139498087177,161.26590374637098,701.3193481445314,153.84775738316415
f3_cubic_learned__neural__1024__20260924,f3_cubic_learned,neural,1024,20260924.0,46081.0,321.0,5.367716969576839,29.8362954419515,54.746046294454004,272.4548939520241,56.86821182790442
f3_cubic_learned__neural__1024__20260925,f3_cubic_learned,neural,1024,20260925.0,46081.0,409.0,10.544279476397644,28.785911781559754,54.335121314304864,272.64668935605187,57.46613145947852
f3_cubic_learned__neural__1024__20260926,f3_cubic_learned,neural,1024,20260926.0,46081.0,421.0,4.975945909342195,32.21172896224098,65.45214918591763,346.6039809594017,69.38130564485955
f3_cubic_learned__neural__128-64-32-16__20260924,f3_cubic_learned,neural,128-64-32-16,20260924.0,16513.0,408.0,6.132838276950901,38.67204511334403,86.04636819890581,442.55037612007345,80.23816402218075
f3_cubic_learned__neural__128-64-32-16__20260925,f3_cubic_learned,neural,128-64-32-16,20260925.0,16513.0,440.0,7.810799299448231,39.41307799974761,84.35221887882841,415.05244930492336,82.41883010376849
f3_cubic_learned__neural__128-64-32-16__20260926,f3_cubic_learned,neural,128-64-32-16,20260926.0,16513.0,421.0,5.346760852710972,39.769025747577636,85.77866786077766,414.1455427933979,85.68345385096173
f3_cubic_learned__neural__128-64-32__20260924,f3_cubic_learned,neural,128-64-32,20260924.0,16001.0,529.0,11.741604880702344,38.21130397814212,84.78099698876723,428.08605938248184,83.64616761952091
f3_cubic_learned__neural__128-64-32__20260925,f3_cubic_learned,neural,128-64-32,20260925.0,16001.0,342.0,8.365836409716263,40.001198582299196,80.40378647972494,403.00374296311065,82.46213086417588
f3_cubic_learned__neural__128-64-32__20260926,f3_cubic_learned,neural,128-64-32,20260926.0,16001.0,317.0,5.841771834627901,36.69689323470411,71.32841104949246,352.27666072194825,66.62582579593997
f3_cubic_learned__neural__128-64__20260924,f3_cubic_learned,neural,128-64,20260924.0,13953.0,400.0,9.446897915330153,42.905773213444874,77.69744110269518,351.88755056620084,72.1835451309802
