variant,architecture,parameters,mean_train_mae_mah,mean_validation_mae_mah,min_validation_mae_mah,max_validation_mae_mah,mean_high_headwind_mae_mah,mean_max_underprediction_mah,seed_range_mah,train_validation_gap_mah
f0_fixed_time,1024,18433.0,6.986522973413897,46.21992340481598,45.501126300512404,46.84200019447863,107.34701483726047,532.2926434263923,1.3408738939662257,39.23340043140208
f0_fixed_time,128-64-32-16,13057.0,7.625494086857053,51.66971254072768,46.60814712029246,57.32702436950916,109.12642299952631,598.2986801269966,10.718877249216703,44.04421845387063
f0_fixed_time,128-64-32,12545.0,8.806578435860688,48.180524792249706,44.13629939490477,51.398071183950016,104.95262154193169,576.711838045424,7.261771789045248,39.37394635638902
f0_fixed_time,128-64,10497.0,6.735145349682362,51.79673929681121,50.70035969908216,52.63951352450348,111.54522478741016,613.7008981150972,1.9391538254213145,45.06159394712885
f0_fixed_time,128,2305.0,4.983067643088842,65.72470660119019,61.21954341577473,69.01343385054957,130.81639615564455,679.6850136875814,7.793890434774845,60.74163895810135
f0_fixed_time,16-16-16-16-16-16-16-16-16-16,2737.0,13.764764854388275,115.13255280776451,97.8447662652245,141.28915141080608,182.02004240073924,788.403629819662,43.44438514558159,101.36778795337624
f0_fixed_time,16-16-16-16-16,1377.0,10.328597157598479,80.12564387442056,69.02657430328834,91.35770694257675,153.9808239543971,816.741569512205,22.331132639288413,69.79704671682208
f0_fixed_time,16,289.0,21.144804199408586,74.63275853245446,65.01439453229584,84.51424502387164,132.46891267236956,634.7399221630313,19.4998504915758,53.48795433304588
f0_fixed_time,256,4609.0,6.573145640793801,53.746536004944495,52.68448455310714,54.35536270956691,119.6645754851478,594.4850296245254,1.6708781564597714,47.17339036415069
f0_fixed_time,32-16,1089.0,8.016866005515466,79.00267427518123,71.23277379477678,89.58816630613575,156.80940118841673,730.3975914250319,18.35539251135897,70.98580826966577
f0_fixed_time,32,577.0,11.692841138823061,71.60306249668002,58.96074737628284,79.93687909451772,133.4721987916808,684.5972805758662,20.976131718234882,59.91022135785696
f0_fixed_time,512,9217.0,7.351456119208571,49.185900299127695,45.33329994773867,51.40992708315006,111.72873077474132,550.8886349415906,6.076627135411385,41.834444179919124
f0_fixed_time,64-32-16,3713.0,5.701115314193127,59.928494632398696,45.3677711446651,70.32676887462013,132.43298269001718,664.43648431455,24.95899772995503,54.22737931820557
f0_fixed_time,64-32,3201.0,5.689018731626153,58.786273153588304,57.890775992944036,59.865764582498755,126.35847762634016,652.5066724059055,1.9749885895547195,53.09725442196215
f0_fixed_time,64,1153.0,11.52399546171555,74.8664309020452,62.47423567921833,87.80461924923412,138.7214057138443,575.3685261131126,25.33038357001579,63.342435440329645
f0_learned_time,1024,18433.0,8.03275795781249,41.94014358579176,41.557889952951044,42.66464787375077,91.4364707720428,480.8342006828473,1.1067579207997298,33.90738562797927
f0_learned_time,128-64-32-16,13057.0,6.442682988040301,44.6363477573855,43.25949271071079,45.70614723357882,92.08263917626135,549.9029921983253,2.4466545228680303,38.1936647693452
f0_learned_time,128-64-32,12545.0,9.027742036850576,42.526011326649126,40.93125151470741,44.43743613116952,90.15182268858,562.9496957422649,3.5061846164621073,33.49826928979855
f0_learned_time,128-64,10497.0,7.440859702096078,45.2507740646567,42.78796144961219,46.718130686672964,93.06495021529888,562.5981587193259,3.930169237060774,37.809914362560626
f0_learned_time,128,2305.0,5.106392994283521,53.706105706613904,50.15205727767639,56.93303251570898,103.66873532146138,560.7993867878707,6.780975238032589,48.59971271233039
f0_learned_time,16-16-16-16-16-16-16-16-16-16,2737.0,10.40405629913574,81.18170427603769,58.60274140037636,122.94113318885674,139.59323246127278,760.2444901535124,64.33839178848038,70.77764797690195
f0_learned_time,16-16-16-16-16,1377.0,7.714603324401158,66.58667714347393,61.4698900093603,71.7329907881052,121.51051973841926,683.2086975050853,10.2631007787449,58.872073819072774
f0_learned_time,16,289.0,15.747495870624222,58.39130427765158,48.44294592628363,66.25995985290254,100.2190813082919,564.4247342939512,17.817013926618912,42.64380840702736
f0_learned_time,256,4609.0,8.020736792058932,44.270402961217336,43.752281343489145,44.701102025878875,94.27875827655532,524.5453912372515,0.94882068238973,36.2496661691584
f0_learned_time,32-16,1089.0,7.414503734383136,67.19569294547655,60.57616397518201,77.34587376005055,122.73398827283741,656.6787685236808,16.76970978486854,59.78118921109341
f0_learned_time,32,577.0,9.256749770613688,52.793991316586414,46.42678505798263,58.36825618055362,93.4225960635976,495.83915810134266,11.941471122570995,43.537241545972726
f0_learned_time,512,9217.0,8.808420222022066,43.16136012355466,40.61046877967927,46.00329868147206,92.28028301820679,505.93887652089734,5.392829901792787,34.352939901532594
f0_learned_time,64-32-16,3713.0,6.179498174227355,52.18959501802484,47.812821763319846,58.69683741365247,108.03200475489162,611.4991130956797,10.884015650332621,46.010096843797484
f0_learned_time,64-32,3201.0,5.962982933068702,55.67566478702647,51.085816665819095,64.14882454101173,114.41159144348653,614.5604373367943,13.063007875192639,49.71268185395777
f0_learned_time,64,1153.0,6.496965663934819,55.702188000065284,53.68503752203869,57.64710675862337,104.6841962221112,548.6540607082674,3.962069236584682,49.20522233613047
f0_original,1024,17409.0,8.14290055872546,52.63393280522843,50.56387357006138,54.257695326065445,117.53994595867648,575.447668711623,3.6938217560040627,44.491032246502975
f0_original,128-64-32-16,12929.0,9.253635057061855,60.74007117571801,57.12760142198496,64.95722015455115,128.32727648142972,656.2250856659988,7.829618732566189,51.48643611865615
f0_original,128-64-32,12417.0,6.6230071085472275,56.38784874731349,52.87251390070769,58.57928878359759,116.6953661924796,626.5425751903535,5.706774882889903,49.76484163876626
f0_original,128-64,10369.0,6.604217565724917,56.733266107944736,52.002841895828105,60.362297696005285,124.25524020598412,638.1788659818145,8.35945580017718,50.12904854221982
f0_original,128,2177.0,5.423513935166213,63.2106585190225,59.13409113051346,68.2771955357758,133.75356006210265,618.1513060138399,9.143104405262342,57.78714458385629
f0_original,16-16-16-16-16-16-16-16-16-16,2721.0,68.06277868547971,211.66560522788174,139.74430268564726,315.0834015234865,297.8814051579324,900.9273289021279,175.33909883783923,143.60282654240203
f0_original,16-16-16-16-16,1361.0,15.454339738092676,112.35004294456712,78.62330674111716,130.2792716913992,177.3724212292462,813.4712957865037,51.65596495028204,96.89570320647445
f0_original,16,273.0,20.73975809527659,76.79240379020102,72.20115938632414,85.18861355295708,155.3906725092825,638.1117015243113,12.987454166632943,56.052645694924436
f0_original,256,4353.0,5.888936631800193,58.618055497088505,54.49530324308566,62.50512951733261,126.74809744264432,592.1051087266661,8.009826274246954,52.729118865288314
f0_original,32-16,1057.0,7.600133633657646,87.37697033367135,80.40959724577748,95.23184709673228,163.82174058771173,670.1295282406714,14.822249850954805,79.7768367000137
f0_original,32,545.0,13.49483276592201,82.00400030099466,65.61967245947937,98.25445879687135,147.42050984129915,636.2492649462864,32.63478633739197,68.50916753507265
f0_original,512,8705.0,7.611701088147739,53.728279938771074,52.9294792940213,55.2640673355784,122.49461295818689,575.6784560296447,2.3345880415571045,46.116578850623334
f0_original,64-32-16,3649.0,6.350509917237434,61.57026748598975,58.506445284713394,64.19575232821333,132.56880916648296,671.073270964067,5.689307043499937,55.21975756875232
f0_original,64-32,3137.0,7.492765881986418,60.56375180604096,53.13227671565104,67.11000227284603,124.52620118308153,644.5964824396959,13.977725557194994,53.07098592405455
f0_original,64,1089.0,6.7831622377374785,71.67921813348705,61.00235899053611,80.52291388361063,139.6280007688256,601.7405244807433,19.520554893074518,64.89605589574958
f1_fixed_time,1024,39937.0,34.56513196609745,65.95730863140666,46.31641670330013,100.44895030652977,117.81199306011314,374.58212234132515,54.13253360322964,31.392176665309215
f1_fixed_time,128-64-32-16,15745.0,9.840968090654796,50.93044908912568,48.683513628583036,53.375188057742086,114.84880510788906,477.3396439158082,4.69167442915905,41.08948099847088
f1_fixed_time,128-64-32,15233.0,8.850368114318272,51.901881711982334,49.46016820369443,55.83843708709542,114.4621496190323,496.43696411395575,6.378268883400992,43.05151359766406
f1_fixed_time,128-64,13185.0,7.333318482054358,52.24106895052017,48.61089853692756,57.517760435573074,118.83246475439086,505.00855883241064,8.906861898645516,44.907750468465814
f1_fixed_time,128,4993.0,4.90337463736262,56.975914432935305,46.485362881178425,70.65633061624777,125.53092608667767,549.2431446128758,24.170967735069347,52.07253979557269
f1_fixed_time,16-16-16-16-16-16-16-16-16-16,3073.0,71.75516967781807,249.81616817458928,196.44067459057194,300.78470656417875,399.56751082190925,957.2209028166862,104.3440319736068,178.06099849677122
f1_fixed_time,16-16-16-16-16,1713.0,7.519738339412888,70.85879990210104,66.37431771564391,79.11475592637923,137.23618997623558,502.7937045626542,12.74043821073532,63.33906156268815
f1_fixed_time,16,625.0,9.72558336711211,77.68239908663021,73.35225208394374,83.92693317189082,147.66019764985182,455.2069041369538,10.574681087947084,67.9568157195181
f1_fixed_time,256,9985.0,8.727429425243256,51.24602983643016,50.65524420128365,52.41137141383109,112.26576367363633,436.3365761811386,1.7561272125474403,42.5186004111869
f1_fixed_time,32-16,1761.0,4.888647017650596,68.3327397480358,58.91719432569831,77.86870531959305,130.26494871611033,415.5851337192136,18.951510993894736,63.44409273038521
f1_fixed_time,32,1249.0,5.325048950148532,67.50899816572492,58.12399414392415,80.39489521860042,128.52988357443473,487.80878371468606,22.270901074676274,62.18394921557638
f1_fixed_time,512,19969.0,10.018044154140021,50.155211182539325,46.80148086194513,53.2362094463975,111.71261359753969,484.1648534953868,6.4347285844523725,40.137167028399304
f1_fixed_time,64-32-16,5057.0,6.847067676102089,60.142220552453686,54.98092396706092,67.74583847611903,130.29710816141298,516.7883686861392,12.764914509058116,53.295152876351594
f1_fixed_time,64-32,4545.0,6.4405186971200115,55.235530063590694,51.49090750792918,59.09359132407039,115.42504177969913,447.30302966760456,7.602683816141209,48.79501136647068
