reference,candidate,matched_neural_runs,improved_neural_runs,mean_neural_mae_change_mah,median_neural_mae_change_mah,ridge_mae_change_mah,xgboost_mae_change_mah
f0_original,f0_fixed_time,45,36,-12.363495946634698,-6.202476105927474,-0.537437204226265,5.424759302383791
f0_fixed_time,f0_learned_time,45,42,-11.69293135494588,-10.204005086815066,-21.42999290970357,-8.371743383163064
f1_original,f1_fixed_time,45,35,-17.229396325883922,-9.102653252869501,-0.490484296944814,-9.565606767703358
f1_fixed_time,f1_learned_speed_time,45,29,-2.4518158008284914,-3.844516878629939,-16.473335761196495,2.9561635335286525
f2_corrected_fixed,f2_corrected_learned,45,34,-1.8908297981252544,-2.9644118484622766,-25.41852486380386,-29.15634883000299
f3_cubic_fixed,f3_cubic_learned,45,27,-2.086151281195501,-1.344111739837615,-3.5531711848352145,-19.864229123777797
