feature_set,model,training_rows,partition,mae_mah,median_absolute_error_mah,p95_absolute_error_mah,rmse_mah,wape,r_squared,mean_signed_error_mah,mean_underprediction_mah,p95_underprediction_mah
f2_physics_informed,ridge,43,train_subset,21.543907163386294,18.05531647089083,48.824180000730294,29.35923564536786,0.012776221268689152,0.9935220517680106,5.02337189932722e-14,10.771953581693122,43.60231818845738
f2_physics_informed,ridge,43,validation,50.76191764725203,39.78319725614574,117.22141695631478,65.08383559416622,0.03013069327724987,0.9867529222514554,-15.399869278322713,33.080893462787365,117.20684188106247
f2_physics_informed,neural_network,43,train_subset,0.7488127521959578,0.534755810702336,1.9961441362330332,1.0606978371480094,0.0004440697473451192,0.9999915446546584,-0.09329402078586808,0.42105338649091295,1.679462833636125
f2_physics_informed,neural_network,43,validation,215.02381808596365,152.23771287234217,577.0088971425115,274.5724569143369,0.12763144125233952,0.7642304327993983,31.392978875830238,91.8154196050667,333.65759730857724
f2_physics_informed,xgboost,43,train_subset,0.4692460525867519,0.21121978759765625,1.752195434570511,1.1629504966808049,0.0002782778143184756,0.9999898358646279,0.003394867653035595,0.23292559246685815,0.7278720092773028
f2_physics_informed,xgboost,43,validation,146.6342958667365,97.9625122070313,463.6298788452151,221.20894889284452,0.08703755093313191,0.846969079417495,-57.424432708358694,102.0293642875476,463.6298788452151
f2_physics_informed,ridge,86,train_subset,21.608965144763506,16.794076451304818,50.67195633749935,29.102736912245277,0.013131618877951619,0.99390705972195,3.833625923170773e-14,10.804482572381733,45.79476124280694
f2_physics_informed,ridge,86,validation,41.273137112816414,31.704800845200225,88.96275605079403,53.808683275442924,0.024498448690964115,0.9909452067985387,-11.82884494649025,26.550991029653332,83.88218776688491
f2_physics_informed,neural_network,86,train_subset,1.4933475945274997,1.1626450607502647,4.122839727303642,2.0582071064227376,0.0009074970195133595,0.9999695254429827,0.38181408815349843,0.5557667531870006,2.73685227241441
f2_physics_informed,neural_network,86,validation,64.83506910470031,47.83219101408167,169.5665544586845,85.74423382478102,0.038484077657944385,0.9770076345030527,-8.61361130448539,36.724340204592856,169.5665544586845
f2_physics_informed,xgboost,86,train_subset,0.14337949619004237,0.1269195556641307,0.33103279239867334,0.1859145921765709,8.713072959611914e-05,0.9999997513512896,0.0006117363789778824,0.07138387990553224,0.2603431701659815
f2_physics_informed,xgboost,86,validation,104.31144007872565,67.9443237304688,232.67797454834044,186.5715052317183,0.06191602193126475,0.8911409757373874,-42.661643495618314,73.48654178717199,232.67797454834044
f2_physics_informed,ridge,129,train_subset,23.327646464036484,17.817815568282185,61.994119221663176,31.509804002049346,0.014408810085871724,0.9941733829605406,6.169053209700094e-14,11.663823232018212,45.55585216821125
f2_physics_informed,ridge,129,validation,43.71378926015138,27.843658782728426,110.55234755572869,66.1032891434526,0.02594714378871112,0.9863346756098533,-12.173374789321896,27.943582024736635,110.55234755572869
f2_physics_informed,neural_network,129,train_subset,3.1589311624028316,2.659693671781497,7.241615810630171,3.9841370249942303,0.0019511800842650672,0.9999068476953494,0.7472066371095584,1.2058622626466367,5.022952128332143
f2_physics_informed,neural_network,129,validation,67.703595264772,54.002670522534004,203.25903044139017,91.69583508912963,0.040186745443024925,0.9737050089912391,-22.841542176070774,45.27256872042138,203.25903044139017
f2_physics_informed,xgboost,129,train_subset,0.42078439327730915,0.29506530761727845,1.3757452392578666,0.6034055249241513,0.00025990630555802746,0.9999978632995782,-0.0006917922820231218,0.21073809277966613,0.9825988769531249
f2_physics_informed,xgboost,129,validation,77.59055002175742,41.08799743652344,227.05120086669962,138.21345606969018,0.0460553338462233,0.9402587287149134,-48.674323158078245,63.13243658991784,227.05120086669962
f2_physics_informed,ridge,172,train_subset,22.657136565182732,17.302485872881675,57.779074853134475,30.212298304116164,0.014160692020864953,0.9948812287197082,-6.08092387813295e-14,11.328568282591396,45.56278302636579
f2_physics_informed,ridge,172,validation,41.871231133114996,25.287813828600065,108.31286432960593,64.29131402436391,0.02485345867308896,0.9870735755875428,-11.53816076630274,26.704695949708867,108.31286432960593
f2_physics_informed,neural_network,172,train_subset,5.829753990347697,5.147323569523792,13.663726475138008,7.436646223539482,0.0036435915269885503,0.9996898638153503,-0.5360277330026829,3.1828908616751903,11.20461820113894
f2_physics_informed,neural_network,172,validation,39.92394359164341,20.94410614410299,180.66383220522619,65.5786692007235,0.023697609438975822,0.9865507209377473,-15.646628695695,27.785286143669207,180.66383220522619
f2_physics_informed,xgboost,172,train_subset,1.0338470233167263,0.7256317138671875,3.128602905273396,1.4670198521588735,0.000646153553065194,0.9999879310308218,0.0012614499278546922,0.5162927866944358,2.062674713134765
f2_physics_informed,xgboost,172,validation,68.77106446987445,37.99922180175781,200.9196090698247,132.61159017989579,0.040820361915620745,0.9450032821260242,-47.05463634668001,57.91285040827722,200.9196090698247
