candidate,reference,primary,estimate,ci95_low,ci95_high,flights_candidate_closer,group_h__estimate,group_h__ci95_low,group_h__ci95_high,group_g__estimate,group_g__ci95_low,group_g__ci95_high
C_f3_tilt_ridge,A_f2_ridge,True,-6.499019364108479,-15.386057354282755,1.8609434745591225,32,-1.8641022772327764,-13.319672272346578,9.561191074285507,-11.133936450984182,-25.302838875281857,1.1643919234540447
D_f3_tilt_neural_mean,B_f2_neural_mean,True,0.7059766880973086,-5.033377858209545,6.460793189847388,32,6.717234804906563,-1.941467551904741,15.230943241135654,-5.305281428711946,-12.645420681208192,1.9126023754852783
C_f3_tilt_ridge,E_f3_forest_ridge,True,-3.3395008397134327,-9.72323359731422,3.145839228902021,33,-3.396207931134135,-14.681565526183231,7.1700112535841285,-3.2827937482927307,-10.381165899957212,3.8726690206501204
