shape,mae_cap600_mah,mae_cap3000_mah,strong_headwind_mae_cap3000_mah,max_underprediction_cap3000_mah,median_epochs_cap3000,max_epochs_cap3000,cap3000_minus_cap600_estimate,cap3000_minus_cap600_ci95_low,cap3000_minus_cap600_ci95_high
256,20.455506728572743,20.627276739700108,45.201709995964215,214.7459409228386,527.0,712,0.17177001112736434,-0.13478803767729514,0.47485289946970105
1024,21.86064686091072,21.713465555246074,51.60638881372305,204.06082457533785,394.0,613,-0.14718130566464332,-0.5454833367021811,0.21384253886885524
64-32,22.890378652923918,22.200758142796527,52.22604434129927,205.50359221373174,676.0,793,-0.6896205101273953,-1.642478165432167,0.24384028469557267
128-64,22.275240069653282,21.938241380188984,51.61333499841373,225.34545431872948,505.0,628,-0.3369986894642992,-0.7920879060287399,0.11384460199797815
64-32-16,21.802638781737276,22.265481721142862,51.370285945911746,209.09280927254395,612.0,841,0.4628429394055889,-0.3718779553266238,1.2725069119466932
128-64-32,22.135735592603936,22.34760724373705,52.33083948570684,193.4334913962216,406.0,665,0.21187165113310963,-0.19675790083043085,0.6265742012540229
128-64-32-16,21.98569818087274,21.98569818087275,56.56725963262665,200.93175302086138,430.0,516,9.441121471691296e-15,-5.50732085848659e-15,2.4389563801869184e-14
5x16,21.97422759021275,21.92455096343447,56.5355259017811,217.3441924237277,758.0,1043,-0.04967662677827879,-1.1144681787350703,1.0837140273652863
10x16,50.82233579222369,50.50407948870524,84.59906461423294,322.1754579583503,698.0,995,-0.3182563035184634,-1.6840187010682566,1.0363525072149868
